id,meal_name,calories,protein_g,carbs_g,fats_g,age,gender,bmi,goal,diet_type
91,Grilled Chicken Salad,355,31,21,11,27,Male,25.5,Build Muscle,High Protein
92,Oatmeal with Berries,255,8,41,5,34,Female,25.0,Weight Loss,Vegetarian
93,Protein Shake,205,25,11,6,24,Male,23.2,Toning,Keto
94,Avocado Toast,305,10,35,12,31,Female,25.6,Endurance,Vegan
95,Steamed Salmon with Rice,405,35,30,15,27,Male,24.0,Build Muscle,Pescatarian
96,Vegetable Stir Fry,285,12,41,10,33,Female,28.7,Strength,Vegan
97,Greek Yogurt with Honey,155,10,21,5,25,Male,23.4,Strength,Vegetarian
98,Turkey Sandwich,355,25,31,10,30,Female,24.1,Weight Loss,High Protein
99,Boiled Eggs,205,15,5,12,32,Male,26.1,Toning,Keto
100,Quinoa Salad,305,12,35,8,28,Female,24.6,Endurance,Vegan
